,Game_Name,Platform,Release_Date,Game_Summary,Meta_Score,Developer,Genre,No._Players,Rating
214,Madden NFL 2003,GameCube,"August 12, 2002","The game of football just got more real with Madden NFL 2003.  This year's installment of the Madden NFL Football series features more depth, new animation, realistic player AI, and in-depth play modes.  Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks in the all-new Mini-Camp mode.  The improved graphics and presentation now show sidearm QBs, gang-tackling, stand-still receiver catches, and more than 300 realistic player faces.  Madden NFL 2003 gives you more control than ever before, with faster game speed, a more finely tuned passing game, and independent audibles for defensive line, linebackers, and defensive backs.",92,EA Sports," Sports, Traditional, Football, Sim", 1-4, E
215,The Witcher 3: Wild Hunt,PlayStation 4,"May 19, 2015","With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt""",92,Warner Bros. Interactive Entertainment," Action RPG, Role-Playing, Action RPG", No Online Multiplayer, M
216,Super Mario World: Super Mario Advance 2,Game Boy Advance,"February 9, 2002","Mario hasn't even had a chance to savor his victory in the original Super Mario Advance, and already he's back for more in Super Mario World: Super Mario Advance 2.  This game is a re-creation of the Super NES classic Super Mario World, featuring every last secret exit and all 74 levels of platform-jumping action.  Once again, Princess Peach has been kidnapped by the ever-diabolical Bowser, and Mario and Luigi set out on a massive adventure to rescue her.  As either Mario or Luigi, you'll solve puzzles, shoot fireballs, fly, and discover the hidden secrets in Dinosaur Island.",92,Nintendo," Action, Platformer, 2D",None, E
217,ESPN NFL 2K5,Xbox,"July 20, 2004","ESPN NFL 2K5 kicks off the football season with an improved ESPN presentation, a variety of player moves, and more. Now you can perform all-new moves during an entire season, while earning points to customize your crib with different items. The game also features new modes, including ESPN 25th Anniversary mode, where you can play in classic NFL situations over the past 25 years. First-Person Football mode returns with new camera switching, improved audio, passing control options, and more.",92,Sega," Sports, Traditional, Football, Sim", 1-4, E
218,Super Smash Bros. Melee,GameCube,"December 2, 2001","Nintendo's all-star cast of combatants is back in Super Smash Bros. Melee, along with a new batch of brawlers ready to tear it up.  The sequel to Super Smash Bros. keeps the same basic premise: Characters duke it out in interactive environments, using special attacks and various items to knock each other into the abyss.  Some new defensive techniques add an even deeper level of complexity to the combat.  In addition to traditional battle royale matches, players can select all-new ways to play like Coin mode and Tournament mode.",92,Nintendo," Action, Fighting, 3D", 1-4, T
219,Madden NFL 2003,Xbox,"August 12, 2002","The game of football just got more real with Madden NFL 2003.  This year's installment of the Madden NFL Football series features more depth, new animation, realistic player AI, and in-depth play modes.  Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks in the all-new Mini-Camp mode.  The improved graphics and presentation now show sidearm QBs, gang-tackling, stand-still receiver catches, and more than 300 realistic player faces.  Madden NFL 2003 gives you more control than ever before, with faster game speed, a more finely tuned passing game, and independent audibles for defensive line, linebackers, and defensive backs.",92,EA Sports," Sports, Traditional, Football, Sim", 1-4, E
220,Virtua Tennis,Dreamcast,"June 8, 2000","Imagine how a tennis player feels when he enters the arena, the crowd is cheering, the atmosphere electric, the adrenaline rushes... Well now you can with Virtua Tennis, the most lifelike and playable tennis game ever! Play as one of eight licensed players and uncover the secret stars. As well as the traditional arcade mode you can play in the exhibition mode, with 4 player action via doubles play. Once you're mastered these modes take on the world in the world circuit mode, with unique training games, different challenges and shops to buy clothing, equipment, stages and playing partners. Virtua Tennis - so realisitc you can almost taste the strawberries and cream.",92,SegaSoft," Sports, Traditional, Tennis",None, E
221,Rome: Total War,PC,"September 22, 2004","Rome: Total War is the next generation in epic strategy gaming from the critically acclaimed and award winning Total War brand. The aim of the game is to conquer, rule and manipulate the Roman Empire with the ultimate goal of being declared as the ""Imperator"" of Rome. Set in a time when the mighty Roman Empire emerged to conquer the known world against powerful enemies; when gladiators fought to a bloody death in the Coliseum; when Spartacus defied the might of the empire; when Hannibal led his invincible army and his war elephants across the Alps to strike fear into the very heart of Rome itself; and when Julius Caesar finally smashed the Barbarian Gauls. This was a time of brutal confrontation between civilisation and barbarism, and of civil war as the ancient world's only superpower turned on itself. A completely new Total War engine uses innovative technology and groundbreaking design to bring the world of ancient Rome to life to deliver the biggest and most cinematic battles ever seen in a videogame. So the battles in Rome: Total War maintain the epic scale that fans of Total War are used to, but now use high-detailed 3D polygonal troops and allows huge cities to be displayed on the battlefields. The result is truly spectacular. [Activision]",92,Activision," Strategy, Real-Time, Historic, General, Historic", No Online Multiplayer, T
222,Forza Motorsport 3,Xbox 360,"October 27, 2009","Whether it's an exotic sports car like the new Audi R8 V10, a classic American muscle car such as the Ford GT, or a hot Asian import such as the Nissan 370Z, everyone has a dream car. The game makes it possible for everyone to experience the thrill of owning the world's most exotic and exquisite cars. Live the most realistic racing experience ever as you take the wheel of more than 400 of the most-beloved cars on over 100 renowned real-world tracks and exotic road courses from around the globe. With breathtaking HD graphics and the most advanced vehicle performance modeling in a video game, Forza Motorsport 3 includes a host of driving assists and adjustable skill levels to make the game a gripping pick-up-and-play experience for audiences of all ages and skill levels. [Microsoft]",92,Microsoft Game Studios," Driving, Racing, Simulation, GT / Street, GT / Street, Automobile", Up to 8, E
223,Okami HD,PC,"December 12, 2017","In Okami, the player takes the role of the mythical sun goddess Amaterasu, in the form of a wolf. Her task is to restore color (or 'life') to the world by destroying the monsters who have stolen it. Since Amaterasu is a diety, there are naturally people who worship her and people who don't. The more people who worship her (as a result of her restoring color and doing other good deeds for them), the more powerful she becomes.",92,Capcom," Action Adventure, General", No Online Multiplayer, T
224,Undertale,PC,"September 15, 2015","Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.",92,tobyfox," Role-Playing, General, Japanese-Style", No Online Multiplayer,None
225,Batman: Arkham Asylum,Xbox 360,"August 25, 2009","In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",92,Eidos Interactive," Action Adventure, Fantasy, General, Fantasy", No Online Multiplayer, T
226,Super Mario Sunshine,GameCube,"August 25, 2002","When Mario, Peach, and an entourage of Peach's loyal Toad friends set out for a tropical vacation on lovely Isle Delfino, they're in store for much more than a relaxing holiday. A mustachioed maniac has mucked up the entire island, and Mario is accused of committing the crime. Armed with a hi-tech water cannon called FLUDD (Flash Liquidizer Ultra Dousing Device), Mario sets out to clean the island, clear his name, and solve the mystery of the villainous vandal. With new enemies, moves, and surprises, Super Mario Sunshine offers plenty of challenges.",92,Nintendo," Action, Platformer, 3D", 1 Player, E
227,SSX 3,Xbox,"October 20, 2003","Drop in and conquer the massive, living mountain rife with ego-crushing challenges and gravity-bending thrills.  SSX 3 returns with more slopes and all-new hazards to overcome including lightning storms, vertical drops, serpentine slopestyle courses and avalanches.  Customize your rider's clothes, abilities, and moves.  Pull off three levels of awesome ""Uber tricks."" Dominate the mountain, and then test your skills online.  It's a long way down, so make sure you're ready for the challenge.",92,EA Sports Big," Sports, Alternative, Snowboarding", 1-2, E
228,SoulCalibur II,Xbox,"August 27, 2003","Open the next chapter in world of Soul Calibur.  Soul Calibur II features seven distinctive gameplay modes including: Arcade, Versus, Time Attack, Survival, Team Battle, Practice, and the console exclusive Weapon Master.  Collect up to 200 different weapons and battle characters with their own styles, strengths, and abilities.  In addition to the 13 fighters, each platform has unique special fighters:  Link for GameCube, Heihachi for PS2, and Spawn for Xbox.  Prove yourself through soul and sword.",92,Namco," Action, Fighting, 3D", 1-2, T
229,Tony Hawk's Pro Skater,PlayStation,"August 31, 1999","Skate as legendary Tony Hawk, or as one of nine top pros. Work your way up the ranks by landing suicidal tricks in brutal competitions to become the highest-ranked skate champ.",92,Activision," Sports, Alternative, Skateboarding", 1-2, T
230,Thief: The Dark Project,PC,"November 30, 1998","Sneak through the shadows of 12 treacherous missions including haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city. Stalk your prey on the quest for stolen goods with your blackjack, sword and an assortment of unique arrows. Steal for money and uncover the hidden agendas of your allies and enemies as you play through an unravelling story of deception and revenge. Survive in a world where shadows are your only ally, trust is not an option, and confrontation results in death! [Eidos Interactive]",92,Eidos Interactive," Action Adventure, Fantasy, General, Fantasy", 1 Player, M
231,Fire Emblem: Awakening,3DS,"February 4, 2013","Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations and backgrounds. They can be joined by a character of your making, with a unique appearance crafted as you see fit.",92,Nintendo," Strategy, Turn-Based, Fantasy, Fantasy, Tactics", No Online Multiplayer, T
232,Age of Empires II: The Age of Kings,PC,"September 30, 1999","Age of Empires II: The Age of Kings is the sequel to the award-winning, best-selling real-time strategy game ""Age of Empires."" Age of Empires II spans a thousand years, from the fall of Rome through the Middle Ages in which players lead one of 13 civilizations into greatness. The game keeps the epic scope of Age of Empires' game play while evolving the combat and economic features. [Microsoft]",92,Microsoft Game Studios," Strategy, Real-Time, Historic, Historic, Command", Up to 8, T
233,Final Fantasy X,PlayStation 2,"December 17, 2001",Final Fantasy's first game on the Playstation 2 is the first to use voice acting and a massive leap in the cinematic approach to storytelling.  Stop reading and go play.,92,Square EA," Role-Playing, Console-style RPG", 1 Player, T
234,Prince of Persia: The Sands of Time,GameCube,"November 18, 2003","Embark on a journey of scorched sands and ancient legends.  A young prince, drawn to the dark powers of a magic dagger, unleashes a deadly evil upon a beautiful kingdom.  Guide the Prince on his quest to reverse the curse by using the Sands of Time, a power which allows you to erase the past, see into the future and slow down the present.  Perform gravity-defying acrobatics and swashbuckling attacks in a staggering array of landscapes and kingdoms.  Restore peace to the land and fulfill your destiny.",92,Ubisoft," Action Adventure, Fantasy", 1 Player, T
235,Demon's Souls,PlayStation 5,"November 12, 2020","From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber.",92,PlayStation Studios," Role-Playing, Action RPG", Up to 4,None
236,The Walking Dead: A Telltale Games Series,Xbox 360,"April 27, 2012","Based on Robert Kirkman's award-winning comic book series, The Walking Dead is about a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive. Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell.",92,Telltale Games," Miscellaneous, Adventure, Compilation, Compilation, Point-and-Click", No Online Multiplayer, M
237,Unreal Tournament (1999),PC,"November 30, 1999","The stakes are high. On the one hand, fame, fortune, glory; on the other hand, death. Prove your skill in the arenas of the future, leading your team of computer-controlled ""bots"" to victory in the Grand Tournament, or compete with the best of the best via LAN or the Internet in seat-of-your-pants battles. While Unreal Tournament offers the finest in classic ""Deathmatch"" play, right out of the box you can compete in Team Deathmatch or Capture the Flag. Control strategic points on the map to rack up your score in Domination, or test your skills in Assault, as one team defends its base from the other. Each game type comes with its own special maps and rules, for never-ending variety and challenge. Add gameplay mutators such as Jump Match or InstaGib, and Unreal Tournament will keep your wits honed to a razor edge. [Infogrames]",92,GT Interactive," Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade", 1-32, M
238,Sid Meier's Alpha Centauri,PC,"February 12, 1999","Legendary designer Sid Meier presents the next evolution in strategy games, with the most addictive, compelling gameplay yet. Explore the alien planet that is your new home and uncover its myriad mysteries. Discover over 75 extraordinary technologies. Build over 60 base upgrades and large-scale secret projects for your empire. Conquer your enemies with a war machine that you design from over 32,000 possible unit types. [Firaxis]",92,Electronic Arts," Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X",None, E
239,Wave Race 64,Nintendo 64,"November 1, 1996","Wave Race 64 is sure to provide some of the most exciting racing you've ever experienced. Feel the pounding and crashing of the waves as you accelerate into straight-aways, whip around the marker buoys and go airborne on the jump ramps. Don't race alone - challenge a friend! Take control in three different modes of play - Championship, Time Trials and Stunt Mode. Nine challenging courses set in exotic locales - race conditions change and the wave action responds to the way both you and your opponents race!",92,Nintendo," Driving, Racing, Snow / Water", 1-2, E
240,Divinity: Original Sin II - Definitive Edition,PlayStation 4,"August 31, 2018","Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void.",92,Larian Studios Games," Role-Playing, Western-Style", Up to 4, M
241,Galactic Civilizations II: Twilight of the Arnor,PC,"April 30, 2008","The galaxy is being consumed by the fires of war as we enter the final act of the Dread Lord saga. Galactic Civilizations II: Twilight of the Arnor is the second  expansion pack to the award-winning PC strategy game, Galactic Civilizations II. Galactic Civilizations II: Twilight of the Arnor expands the gameplay of Galactic Civilizations in all new ways. New campaign detailing the final chapter in the Dread Lords wars. The Terror Star arrives, capable of destroying any star. Unique technology trees for all 12 civilizations. Unique planetary improvements for each civilization. New 3D engine powered map editor. New Scenario Editor for creating highly detailed custom games. New Campaign Editor for players who want to create their own custom epic campaigns for themselves or to share with others. New Metaverse Tournaments: Specific maps & scenarios recorded to the Metaverse with prizes for top players. [Stardock]",92,Stardock," Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X", 1 Player,None
242,Super Smash Bros. for Wii U,Wii U,"November 21, 2014",Duke it out with your favorite Nintendo characters in Super Smash Bros. for the Nintendo Wii U.,92,Nintendo," Action, Fighting, Fighting, 3D, 2D, 2D, 3D", Up to 8, E10+
243,Guitar Hero II,PlayStation 2,"November 7, 2006","Rock the Rhythm, Lead, and Bass Guitar tracks in the follow-up sequel to ""Guitar Hero."" Form your guitar duo and shred riffs cooperatively or go head to head in all new multiplayer modes. With over 55 tracks to rock out to, you'll go from Guitar Hero to Guitar god in one press of a fret button. Choose from multiple rock characters and jam at concert venues that grow in size as your rock career progresses. You'll start your rock career playing small clubs and bars, but if you play well you'll work your way up to stadiums and arenas. Guitar Hero II takes the guitar rock experience to new volumes by allowing players to play 3 different guitar tracks: Rhythm, Bass, and Lead. Guitar Hero II introduces all new multiplayer modes like: cooperative, pro-face off, and face off, letting 2 Guitar Heroes conduct their own symphonies of destruction. Shred School: Guitar Hero II features an all new practice mode, allowing Guitar Zeroes to become Guitar Heroes with enough practice. [RedOctane]",92,RedOctane," Miscellaneous, Rhythm, Music", 1-2, T
244,Final Fantasy VII,PlayStation,"September 3, 1997","An epic adventure across 3 cd-roms. What begins as a rebellion against an evil corporation becomes much more. And what erupts goes beyond imagination. With vivid landscapes, lush 3D animation and environments, Square Soft's multi-million dollar masterpiece is like nothing ever seen before.",92,SCEA," Role-Playing, Console-style RPG", 1 Player, T
245,Rock Band,PlayStation 3,"November 20, 2007","Play together in your living room or across the world! Rock Band offers deep online functionality, allowing players to rock together whether they’re in Rhode Island or Reykjavik. Major record labels and leading music publishers have signed on to provide unrivaled access to master recordings and legendary rock artists – from punk, metal and alternative to classic and southern rock. Rock Band ships with 45 fearsome tracks from artists like Bon Jovi and The Ramones to Black Sabbath and Stone Temple Pilots. Full support for downloadable content delivers never-ending challenges. New content will be available every week. Download full albums for play with Rock Band including the iconic rock album 'Who's Next' by The Who. Metallica has signed on to offer several tracks as digitally-distributed game levels for Rock Band as well as ""Enter Sandman"" for the Rock Band ship disc. Create your own rock avatar! Mold a unique rocker using Rock Band's character creator. Chose from gender, body shape, face, hair, clothes, tattoos and signature moves. Don't forget to pick your specialized rockin’ instrument. Drumming in the spotlight! Showcase a real drum solo with Rock Band's freestyle drum fill windows featured in each song. Break out your own rhythm and style as anything goes! Vocalists can bring the crowd to their feet during Rock Band’s freestyle vocal fill windows. Ad-lib your own words or shout to the crowd to raise the rock intensity of the performance. Band mates can fail out of a song for poor performance, but the band still plays on. Rescue your failing mate by busting out signature moves and blistering solos to wow the crowd with showmanship. Earn bonus points for your band during Rock Band’s Unison Phrase opportunities if everyone plays perfectly. [Harmonix]",92,"Electronic Arts , MTV Games"," Action, Miscellaneous, Rhythm, Music, Music", 4 Online, T
246,Chrono Trigger,DS,"November 25, 2008","[Metacritic's 2008 DS Game of the Year] When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his unfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future. Features an engaging and unparalleled storyline, leading to the discovery of multiple epic conclusions to a journey that transcends time. An inspiring musical score created by Yasunori Mitsuda. Intriguing battle system made possible by the unique combination of the Active Time Battle system and Tech skills. Famed character designer Akira Toriyama lends his signature art style to create the vibrant world that has captivated gamers around the world. Taking advantage of the Nintendo DS hardware, CHRONO TRIGGER makes its way onto the portable platform with all-new dual screen presentation and Touch-Screen functionality. A brand new dungeon and a Wireless Play mode adds exciting new dimensions to this timeless classic. [Square Enix]",92,Square Enix," Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style", No Online Multiplayer, E10+
247,Bayonetta 2,Switch,"February 16, 2018","In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet as it soars through a downtown city. Duke it out against a giant angel, who bears a whip for an arm, on top of a speeding train. And take to the skies in a fight against a demonic monster while ascending to the top of a skyscraper.",92,Nintendo," Action Adventure, Linear", No Online Multiplayer, M
248,Journey,PlayStation 3,"March 13, 2012","Enter the world of Journey, the third game from indie developers thatgamecompany (creators of ""flOw"" and ""Flower""). Journey is an interactive parable, an anonymous online adventure to experience a person’s life passage and their intersections with other’s. You wake alone and surrounded by miles of burning, sprawling desert, and soon discover the looming mountaintop which is your goal. Faced with rolling sand dunes, age-old ruins, caves and howling winds, your passage will not be an easy one. The goal is to get to the mountaintop, but the experience is discovering who you are, what this place is, and what is your purpose. Travel and explore this ancient, mysterious world alone, or with a stranger you meet along the way. Soar above ruins and glide across sands as you discover the secrets of a forgotten civilization. [thatgamecompany]",92,SCEA," Action, Adventure, General, Platformer, Platformer, 3D, 3D", No Online Multiplayer, E
249,Xenoblade Chronicles,Wii,"April 6, 2012","Xenoblade Chronicles throws you into a universe bursting with imagination. Take hold of an ancient sword that offers glimpses of the future, customise your characters extensively and discover a world where your relationships with others matter.",92,Nintendo," Role-Playing, Action RPG, Console-style RPG, Action RPG", No Online Multiplayer, T
250,Conker's Bad Fur Day,Nintendo 64,"March 4, 2001","The day after his 21st birthday bash, Conker's sporting the worst hangover ever, and he just can't seem to find his way home. Prepare to stagger through randy, raunchy, raucous scenarios crammed full of bad manners, twisted humor, and graphic bodily functions. Unless you're a fan of violence, foul language, and racy innuendo, you'd best steer clear of this one.",92,Rare Ltd.," Action, Platformer, 3D",None, M
251,Medal of Honor,PlayStation,"October 31, 1999","Tomorrow is D-Day. Tonight you land behind enemy lines. The tide of the way is in your hands. You are an elite Special Forces agent sent to execute covert operations, search and rescue missions, and commando raids. Fight to win the medal of Honor in the only game that lets you take on Nazis in WWII.",92,Electronic Arts," Action, Shooter, First-Person, Historic", 1-2, T
252,PaRappa the Rapper,PlayStation,"October 31, 1997",Help Parappa rap with the best of the master rappers and straight into Sunny's heart. Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun of mixes.,92,SCEA," Miscellaneous, Rhythm, Music", 1 Player, K-A
253,Rock Band 2,Xbox 360,"September 14, 2008","Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock's most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]",92,MTV Games," Action, Miscellaneous, Rhythm, Music, Music", 1-4, T
254,Mario Kart 8 Deluxe,Switch,"April 28, 2017","Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr. Race your friends in the definitive version of Mario Kart 8, only on Nintendo Switch. Race as every character on every track from the Wii U version, including DLC characters and tracks. Pop some balloons in the revamped Battle mode, complete with Balloon Battle and Bob-omb Blast. Battle on new courses, like Urchin Underpass and Battle Stadium, or returning ones, such as GCN Luigi's Mansion and SNES Battle Course 1. Inkling Girl & Inkling Boy from Splatoon, King Boo, Dry Bones, and Bowser Jr. join the roster. Players can choose a new Smart Steering feature which makes driving and staying on the track easy for novice players and kids even at 200cc. Three new vehicles have been added, two are even inspired by Splatoon. Carry two items at the same time. Returning items include Boo, the item stealing ghost, and the Feather, which gives you a high jump in battle mode. Play your friends in local wireless multiplayer with up to 8 players. Drive through in 1080p HD quality in TV mode. Play on the go with handheld mode and play anytime, anywhere.",92,Nintendo," Other, Racing, Arcade, Automobile", Up to 12, E
255,The ICO & Shadow of the Colossus Collection,PlayStation 3,"September 27, 2011",This collection provides HD and 3D updates for PS2 classics Ico and Shadow of the Colossus.,92,SCEA," Miscellaneous, Action Adventure, Fantasy, Compilation, Compilation", No Online Multiplayer, T
256,Rayman Origins,Wii,"November 15, 2011","Rayman's new adventure is a two-dimensional cooperative platformer with a colorful, whimsical art style.",92,Ubisoft," Action, Action Adventure, Platformer, Fantasy, Platformer, 2D, 2D", 1-4, E10+
257,Metroid Prime 2: Echoes,GameCube,"November 15, 2004","The sequel to Metroid Prime puts you in the role of bounty hunter Samus Aran once again. Your mission is to locate federation troopers who are missing on Aether--a planet torn into light and dark domains. To help you travel through the depths of light and dark, you'll have all-new beam weapons, a screw attack, and power-ups. Eliminate your enemies, solve puzzles, and open doors in an effort to restore peace to Aether. Metroid Prime 2: Echoes also features competitive multiplayer modes supporting up to four players.",92,Nintendo," Action, Shooter, First-Person, Sci-Fi", 1-4, T
258,Out of the Park Baseball 17,PC,"March 22, 2016","Step into the shoes of a team owner, GM, and/or field manager to own the future or rewrite the past of your favorite real-world club. Start a new career with 2016 Opening Day rosters of the real major or minor leagues, or span through 150 years of history and run any club from the past! Perform drafts, trades, scouting, waivers, team finances and personnel. Negotiate player contracts. Dive into the more hands-on management and set your team's lineups, pitching staffs, and in-game strategy. You can oversee your league at a high level, or play out each game, managing play by play or even pitch by pitch!",92,Out Of The Park Developments," Sports, Baseball, Sim, Team",None,None
259,Metroid Fusion,Game Boy Advance,"November 17, 2002","While lending mission support on planet SR388, interstellar bounty hunter Samus Aran is attacked by an X parasite, an organism with the ability to mimic the abilities of any creature it infects. Near death, Samus is saved by a vaccin made from the DNA of the last Metroid--the X parasite's only natural predator. When the X spread to a research station in orbit around SR388, a weakened Samurs is forced to exterminate them all...or die trying.",92,Nintendo," Action Adventure, Sci-Fi", 1 Player, E
260,The Witcher 3: Wild Hunt - Blood and Wine,PC,"May 30, 2016","This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",92,"Warner Bros. Interactive Entertainment , CD Projekt"," Role-Playing, Action RPG",None, M
261,Final Fantasy VI Advance,Game Boy Advance,"February 5, 2007","This title are more than a simple port of the SNES classic — every aspect of the games has been reviewed and enhanced. Additionally, a host of brand-new elements has been seamlessly merged with the original game, providing unexpected surprises for longtime fans. With new dungeons, new job classes, and other exciting features, both old-school players and newcomers can enjoy this genre-defining FINAL FANTASY title in a portable format.",92,Nintendo," Role-Playing, Console-style RPG", 1-2, E10+
262,Rayman Legends,Wii U,"September 3, 2013","Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump and fight their way through each world to save the day and discover the secrets of every legendary painting. Rayman Legends takes full advantage of the Wii U and its new GamePad’s capabilities. Use the touch screen to take out enemies, manipulate platforms, cut ropes to clear a path and much more. With the gyroscope technology, you can move rotating platform and there are many more surprises to come.",92,Ubisoft," Action, Platformer, Platformer, 2D, 2D", No Online Multiplayer, E10+
263,Tiger Woods PGA Tour 2003,PC,"October 31, 2002","New course lineup: Twelve detailed courses include Pebble Beach Golf Links, TPC of Scottsdale and Torrey Pines South. New effects: Feel the sun, the wind, the fog and the grass as you walk 18. The most PGA TOUR pros: Play as or against Tiger Woods, Ty Tryon, Vijay Singh, Brad Faxon and many others. TrueSwing technology: Take full control over your swing, from straight drives to hooks and draws. Career mode: Purchase new equipment and lessons, hone your skills, and make your way to the top of the career rankings. [EA Sports]",92,Electronic Arts," Sports, Traditional, Individual, Golf, Sim, Sim", 1-8, E
264,Madden NFL 2005,Xbox,"August 9, 2004","Madden NFL 2005 introduces the Hit Stick, a new feature that lets players turn a game around with a crucial tackle. Along with all-new defensive preplay controls and defensive artificial intelligence enhancements, the defense now has a diverse arsenal of weapons available. Also, the depth of Franchise mode grows with the addition of Storyline Central, a weekly radio talk show that discusses current stories regarding your team and the league. With even more Franchise mode additions, hundreds of new animations, and the new Create-a-Fan feature, Madden NFL 2005 takes the series to the next level.",91,EA Sports," Sports, Traditional, Football, Sim", 2 Online, E
